,abilities_number,ability_1,ability_2,ability_hidden,attack,base_experience,base_friendship,catch_rate,defense,egg_cycles,egg_type_1,egg_type_2,egg_type_number,generation,growth_rate,height_m,hp,is_legendary,is_mythical,is_sub_legendary,name,percentage_male,pokedex_number,sp_attack,sp_defense,species,speed,total_points,type_1,type_2,type_number,weight_kg
108,3,Keen Eye,Inner Focus,Defiant,90.0,132.0,70.0,45.0,55.0,20.0,Field,Flying,2,1,Medium Fast,0.8,52.0,0,0,0,Farfetch'd,50.0,83,58.0,62.0,Wild Duck Pokémon,60.0,377.0,Normal,Flying,2,15.0
109,2,Steadfast,,Scrappy,95.0,,,,55.0,20.0,Field,Flying,2,1,Medium Fast,0.8,52.0,0,0,0,Galarian Farfetch'd,,83,58.0,62.0,Wild Duck Pokémon,55.0,377.0,Fighting,,1,42.0
110,3,Run Away,Early Bird,Tangled Feet,85.0,62.0,70.0,190.0,45.0,20.0,Flying,,1,1,Medium Fast,1.4,35.0,0,0,0,Doduo,50.0,84,35.0,35.0,Twin Bird Pokémon,75.0,310.0,Normal,Flying,2,39.2
111,3,Run Away,Early Bird,Tangled Feet,110.0,165.0,70.0,45.0,70.0,20.0,Flying,,1,1,Medium Fast,1.8,60.0,0,0,0,Dodrio,50.0,85,60.0,60.0,Triple Bird Pokémon,110.0,470.0,Normal,Flying,2,85.2
112,3,Thick Fat,Hydration,Ice Body,45.0,65.0,70.0,190.0,55.0,20.0,Field,Water 1,2,1,Medium Fast,1.1,65.0,0,0,0,Seel,50.0,86,45.0,70.0,Sea Lion Pokémon,45.0,325.0,Water,,1,90.0
113,3,Thick Fat,Hydration,Ice Body,70.0,166.0,70.0,75.0,80.0,20.0,Field,Water 1,2,1,Medium Fast,1.7,90.0,0,0,0,Dewgong,50.0,87,70.0,95.0,Sea Lion Pokémon,70.0,475.0,Water,Ice,2,120.0
114,3,Stench,Sticky Hold,Poison Touch,80.0,65.0,70.0,190.0,50.0,20.0,Amorphous,,1,1,Medium Fast,0.9,80.0,0,0,0,Grimer,50.0,88,40.0,50.0,Sludge Pokémon,25.0,325.0,Poison,,1,30.0
115,3,Poison Touch,Gluttony,Power of Alchemy,80.0,65.0,70.0,190.0,50.0,20.0,Amorphous,,1,1,Medium Fast,0.7,80.0,0,0,0,Alolan Grimer,50.0,88,40.0,50.0,Sludge Pokémon,25.0,325.0,Poison,Dark,2,42.0
116,3,Stench,Sticky Hold,Poison Touch,105.0,175.0,70.0,75.0,75.0,20.0,Amorphous,,1,1,Medium Fast,1.2,105.0,0,0,0,Muk,50.0,89,65.0,100.0,Sludge Pokémon,50.0,500.0,Poison,,1,30.0
117,3,Poison Touch,Gluttony,Power of Alchemy,105.0,175.0,70.0,75.0,75.0,20.0,Amorphous,,1,1,Medium Fast,1.0,105.0,0,0,0,Alolan Muk,50.0,89,65.0,100.0,Sludge Pokémon,50.0,500.0,Poison,Dark,2,52.0
118,3,Shell Armor,Skill Link,Overcoat,65.0,61.0,70.0,190.0,100.0,20.0,Water 3,,1,1,Slow,0.3,30.0,0,0,0,Shellder,50.0,90,45.0,25.0,Bivalve Pokémon,40.0,305.0,Water,,1,4.0
119,3,Shell Armor,Skill Link,Overcoat,95.0,184.0,70.0,60.0,180.0,20.0,Water 3,,1,1,Slow,1.5,50.0,0,0,0,Cloyster,50.0,91,85.0,45.0,Bivalve Pokémon,70.0,525.0,Water,Ice,2,132.5
120,1,Levitate,,,35.0,62.0,70.0,190.0,30.0,20.0,Amorphous,,1,1,Medium Slow,1.3,30.0,0,0,0,Gastly,50.0,92,100.0,35.0,Gas Pokémon,80.0,310.0,Ghost,Poison,2,0.1
121,1,Levitate,,,50.0,142.0,70.0,90.0,45.0,20.0,Amorphous,,1,1,Medium Slow,1.6,45.0,0,0,0,Haunter,50.0,93,115.0,55.0,Gas Pokémon,95.0,405.0,Ghost,Poison,2,0.1
122,1,Cursed Body,,,65.0,225.0,70.0,45.0,60.0,20.0,Amorphous,,1,1,Medium Slow,1.5,60.0,0,0,0,Gengar,50.0,94,130.0,75.0,Shadow Pokémon,110.0,500.0,Ghost,Poison,2,40.5
123,1,Shadow Tag,,,65.0,270.0,70.0,45.0,80.0,20.0,Amorphous,,1,1,Medium Slow,1.4,60.0,0,0,0,Mega Gengar,50.0,94,170.0,95.0,Shadow Pokémon,130.0,600.0,Ghost,Poison,2,40.5
124,3,Rock Head,Sturdy,Weak Armor,45.0,77.0,70.0,45.0,160.0,25.0,Mineral,,1,1,Medium Fast,8.8,35.0,0,0,0,Onix,50.0,95,30.0,45.0,Rock Snake Pokémon,70.0,385.0,Rock,Ground,2,210.0
125,3,Insomnia,Forewarn,Inner Focus,48.0,66.0,70.0,190.0,45.0,20.0,Human-Like,,1,1,Medium Fast,1.0,60.0,0,0,0,Drowzee,50.0,96,43.0,90.0,Hypnosis Pokémon,42.0,328.0,Psychic,,1,32.4
126,3,Insomnia,Forewarn,Inner Focus,73.0,169.0,70.0,75.0,70.0,20.0,Human-Like,,1,1,Medium Fast,1.6,85.0,0,0,0,Hypno,50.0,97,73.0,115.0,Hypnosis Pokémon,67.0,483.0,Psychic,,1,75.6
127,3,Hyper Cutter,Shell Armor,Sheer Force,105.0,65.0,70.0,225.0,90.0,20.0,Water 3,,1,1,Medium Fast,0.4,30.0,0,0,0,Krabby,50.0,98,25.0,25.0,River Crab Pokémon,50.0,325.0,Water,,1,6.5
128,3,Hyper Cutter,Shell Armor,Sheer Force,130.0,166.0,70.0,60.0,115.0,20.0,Water 3,,1,1,Medium Fast,1.3,55.0,0,0,0,Kingler,50.0,99,50.0,50.0,Pincer Pokémon,75.0,475.0,Water,,1,60.0
129,3,Soundproof,Static,Aftermath,30.0,66.0,70.0,190.0,50.0,20.0,Mineral,,1,1,Medium Fast,0.5,40.0,0,0,0,Voltorb,,100,55.0,55.0,Ball Pokémon,100.0,330.0,Electric,,1,10.4
130,3,Soundproof,Static,Aftermath,50.0,172.0,70.0,60.0,70.0,20.0,Mineral,,1,1,Medium Fast,1.2,60.0,0,0,0,Electrode,,101,80.0,80.0,Ball Pokémon,150.0,490.0,Electric,,1,66.6
131,2,Chlorophyll,,Harvest,40.0,65.0,70.0,90.0,80.0,20.0,Grass,,1,1,Slow,0.4,60.0,0,0,0,Exeggcute,50.0,102,60.0,45.0,Egg Pokémon,40.0,325.0,Grass,Psychic,2,2.5
132,2,Chlorophyll,,Harvest,95.0,186.0,70.0,45.0,85.0,20.0,Grass,,1,1,Slow,2.0,95.0,0,0,0,Exeggutor,50.0,103,125.0,75.0,Coconut Pokémon,55.0,530.0,Grass,Psychic,2,120.0
133,2,Frisk,,Harvest,105.0,186.0,70.0,45.0,85.0,20.0,Grass,,1,1,Slow,10.9,95.0,0,0,0,Alolan Exeggutor,50.0,103,125.0,75.0,Coconut Pokémon,45.0,530.0,Grass,Dragon,2,415.6
134,3,Rock Head,Lightning Rod,Battle Armor,50.0,64.0,70.0,190.0,95.0,20.0,Monster,,1,1,Medium Fast,0.4,50.0,0,0,0,Cubone,50.0,104,40.0,50.0,Lonely Pokémon,35.0,320.0,Ground,,1,6.5
135,3,Rock Head,Lightning Rod,Battle Armor,80.0,149.0,70.0,75.0,110.0,20.0,Monster,,1,1,Medium Fast,1.0,60.0,0,0,0,Marowak,50.0,105,50.0,80.0,Bone Keeper Pokémon,45.0,425.0,Ground,,1,45.0
136,3,Cursed Body,Lightning Rod,Rock Head,80.0,149.0,70.0,75.0,110.0,20.0,Monster,,1,1,Medium Fast,1.0,60.0,0,0,0,Alolan Marowak,50.0,105,50.0,80.0,Bone Keeper Pokémon,45.0,425.0,Fire,Ghost,2,34.0
137,3,Limber,Reckless,Unburden,120.0,159.0,70.0,45.0,53.0,25.0,Human-Like,,1,1,Medium Fast,1.5,50.0,0,0,0,Hitmonlee,100.0,106,35.0,110.0,Kicking Pokémon,87.0,455.0,Fighting,,1,49.8
138,3,Keen Eye,Iron Fist,Inner Focus,105.0,159.0,70.0,45.0,79.0,25.0,Human-Like,,1,1,Medium Fast,1.4,50.0,0,0,0,Hitmonchan,100.0,107,35.0,110.0,Punching Pokémon,76.0,455.0,Fighting,,1,50.2
139,3,Own Tempo,Oblivious,Cloud Nine,55.0,77.0,70.0,45.0,75.0,20.0,Monster,,1,1,Medium Fast,1.2,90.0,0,0,0,Lickitung,50.0,108,60.0,75.0,Licking Pokémon,30.0,385.0,Normal,,1,65.5
140,3,Levitate,Neutralizing Gas,Stench,65.0,68.0,70.0,190.0,95.0,20.0,Amorphous,,1,1,Medium Fast,0.6,40.0,0,0,0,Koffing,50.0,109,60.0,45.0,Poison Gas Pokémon,35.0,340.0,Poison,,1,1.0
141,3,Levitate,Neutralizing Gas,Stench,90.0,172.0,70.0,60.0,120.0,20.0,Amorphous,,1,1,Medium Fast,1.2,65.0,0,0,0,Weezing,50.0,110,85.0,70.0,Poison Gas Pokémon,60.0,490.0,Poison,,1,9.5
142,3,Levitate,Neutralizing Gas,Misty Surge,90.0,,,,120.0,20.0,Amorphous,,1,1,Medium Fast,3.0,65.0,0,0,0,Galarian Weezing,,110,85.0,70.0,Poison Gas Pokémon,60.0,490.0,Poison,Fairy,2,16.0
143,3,Lightning Rod,Rock Head,Reckless,85.0,69.0,70.0,120.0,95.0,20.0,Field,Monster,2,1,Slow,1.0,80.0,0,0,0,Rhyhorn,50.0,111,30.0,30.0,Spikes Pokémon,25.0,345.0,Ground,Rock,2,115.0
144,3,Lightning Rod,Rock Head,Reckless,130.0,170.0,70.0,60.0,120.0,20.0,Field,Monster,2,1,Slow,1.9,105.0,0,0,0,Rhydon,50.0,112,45.0,45.0,Drill Pokémon,40.0,485.0,Ground,Rock,2,120.0
145,3,Natural Cure,Serene Grace,Healer,5.0,395.0,140.0,30.0,5.0,40.0,Fairy,,1,1,Fast,1.1,250.0,0,0,0,Chansey,0.0,113,35.0,105.0,Egg Pokémon,50.0,450.0,Normal,,1,34.6
146,3,Chlorophyll,Leaf Guard,Regenerator,55.0,87.0,70.0,45.0,115.0,20.0,Grass,,1,1,Medium Fast,1.0,65.0,0,0,0,Tangela,50.0,114,100.0,40.0,Vine Pokémon,60.0,435.0,Grass,,1,35.0
147,3,Early Bird,Scrappy,Inner Focus,95.0,172.0,70.0,45.0,80.0,20.0,Monster,,1,1,Medium Fast,2.2,105.0,0,0,0,Kangaskhan,0.0,115,40.0,80.0,Parent Pokémon,90.0,490.0,Normal,,1,80.0
148,1,Parental Bond,,,125.0,207.0,70.0,45.0,100.0,20.0,Monster,,1,1,Medium Fast,2.2,105.0,0,0,0,Mega Kangaskhan,0.0,115,60.0,100.0,Parent Pokémon,100.0,590.0,Normal,,1,100.0
149,3,Swift Swim,Sniper,Damp,40.0,59.0,70.0,225.0,70.0,20.0,Dragon,Water 1,2,1,Medium Fast,0.4,30.0,0,0,0,Horsea,50.0,116,70.0,25.0,Dragon Pokémon,60.0,295.0,Water,,1,8.0
150,3,Poison Point,Sniper,Damp,65.0,154.0,70.0,75.0,95.0,20.0,Dragon,Water 1,2,1,Medium Fast,1.2,55.0,0,0,0,Seadra,50.0,117,95.0,45.0,Dragon Pokémon,85.0,440.0,Water,,1,25.0
151,3,Swift Swim,Water Veil,Lightning Rod,67.0,64.0,70.0,225.0,60.0,20.0,Water 2,,1,1,Medium Fast,0.6,45.0,0,0,0,Goldeen,50.0,118,35.0,50.0,Goldfish Pokémon,63.0,320.0,Water,,1,15.0
152,3,Swift Swim,Water Veil,Lightning Rod,92.0,158.0,70.0,60.0,65.0,20.0,Water 2,,1,1,Medium Fast,1.3,80.0,0,0,0,Seaking,50.0,119,65.0,80.0,Goldfish Pokémon,68.0,450.0,Water,,1,39.0
153,3,Illuminate,Natural Cure,Analytic,45.0,68.0,70.0,225.0,55.0,20.0,Water 3,,1,1,Slow,0.8,30.0,0,0,0,Staryu,,120,70.0,55.0,Star Shape Pokémon,85.0,340.0,Water,,1,34.5
154,3,Illuminate,Natural Cure,Analytic,75.0,182.0,70.0,60.0,85.0,20.0,Water 3,,1,1,Slow,1.1,60.0,0,0,0,Starmie,,121,100.0,85.0,Mysterious Pokémon,115.0,520.0,Water,Psychic,2,80.0
155,3,Soundproof,Filter,Technician,45.0,161.0,70.0,45.0,65.0,25.0,Human-Like,,1,1,Medium Fast,1.3,40.0,0,0,0,Mr. Mime,50.0,122,100.0,120.0,Barrier Pokémon,90.0,460.0,Psychic,Fairy,2,54.5
156,3,Vital Spirit,Screen Cleaner,Ice Body,65.0,,,,65.0,25.0,Human-Like,,1,1,Medium Fast,1.4,50.0,0,0,0,Galarian Mr. Mime,,122,90.0,90.0,Dancing Pokémon,100.0,460.0,Psychic,Ice,2,56.8
157,3,Swarm,Technician,Steadfast,110.0,100.0,70.0,45.0,80.0,25.0,Bug,,1,1,Medium Fast,1.5,70.0,0,0,0,Scyther,50.0,123,55.0,80.0,Mantis Pokémon,105.0,500.0,Bug,Flying,2,56.0
158,3,Oblivious,Forewarn,Dry Skin,50.0,159.0,70.0,45.0,35.0,25.0,Human-Like,,1,1,Medium Fast,1.4,65.0,0,0,0,Jynx,0.0,124,115.0,95.0,Human Shape Pokémon,95.0,455.0,Ice,Psychic,2,40.6
159,2,Static,,Vital Spirit,83.0,172.0,70.0,45.0,57.0,25.0,Human-Like,,1,1,Medium Fast,1.1,65.0,0,0,0,Electabuzz,75.0,125,95.0,85.0,Electric Pokémon,105.0,490.0,Electric,,1,30.0
160,2,Flame Body,,Vital Spirit,95.0,173.0,70.0,45.0,57.0,25.0,Human-Like,,1,1,Medium Fast,1.3,65.0,0,0,0,Magmar,75.0,126,100.0,85.0,Spitfire Pokémon,93.0,495.0,Fire,,1,44.5
161,3,Hyper Cutter,Mold Breaker,Moxie,125.0,175.0,70.0,45.0,100.0,25.0,Bug,,1,1,Slow,1.5,65.0,0,0,0,Pinsir,50.0,127,55.0,70.0,Stag Beetle Pokémon,85.0,500.0,Bug,,1,55.0
162,1,Aerilate,,,155.0,210.0,70.0,45.0,120.0,25.0,Bug,,1,1,Slow,1.7,65.0,0,0,0,Mega Pinsir,50.0,127,65.0,90.0,Stag Beetle Pokémon,105.0,600.0,Bug,Flying,2,59.0
163,3,Intimidate,Anger Point,Sheer Force,100.0,172.0,70.0,45.0,95.0,20.0,Field,,1,1,Slow,1.4,75.0,0,0,0,Tauros,100.0,128,40.0,70.0,Wild Bull Pokémon,110.0,490.0,Normal,,1,88.4
164,2,Swift Swim,,Rattled,10.0,40.0,70.0,255.0,55.0,5.0,Dragon,Water 2,2,1,Slow,0.9,20.0,0,0,0,Magikarp,50.0,129,15.0,20.0,Fish Pokémon,80.0,200.0,Water,,1,10.0
165,2,Intimidate,,Moxie,125.0,189.0,70.0,45.0,79.0,5.0,Dragon,Water 2,2,1,Slow,6.5,95.0,0,0,0,Gyarados,50.0,130,60.0,100.0,Atrocious Pokémon,81.0,540.0,Water,Flying,2,235.0
166,1,Mold Breaker,,,155.0,224.0,70.0,45.0,109.0,5.0,Dragon,Water 2,2,1,Slow,6.5,95.0,0,0,0,Mega Gyarados,50.0,130,70.0,130.0,Atrocious Pokémon,81.0,640.0,Water,Dark,2,305.0
167,3,Water Absorb,Shell Armor,Hydration,85.0,187.0,70.0,45.0,80.0,40.0,Monster,Water 1,2,1,Slow,2.5,130.0,0,0,0,Lapras,50.0,131,85.0,95.0,Transport Pokémon,60.0,535.0,Water,Ice,2,220.0
168,2,Limber,,Imposter,48.0,101.0,70.0,35.0,48.0,20.0,Ditto,,1,1,Medium Fast,0.3,48.0,0,0,0,Ditto,,132,48.0,48.0,Transform Pokémon,48.0,288.0,Normal,,1,4.0
169,3,Run Away,Adaptability,Anticipation,55.0,65.0,70.0,45.0,50.0,35.0,Field,,1,1,Medium Fast,0.3,55.0,0,0,0,Eevee,87.5,133,45.0,65.0,Evolution Pokémon,55.0,325.0,Normal,,1,6.5
170,1,,,Anticipation,75.0,65.0,70.0,45.0,70.0,35.0,,,0,1,Medium Fast,0.3,65.0,0,0,0,Partner Eevee,87.5,133,65.0,85.0,Evolution Pokémon,75.0,435.0,Normal,,1,6.5
171,2,Water Absorb,,Hydration,65.0,184.0,70.0,45.0,60.0,35.0,Field,,1,1,Medium Fast,1.0,130.0,0,0,0,Vaporeon,87.5,134,110.0,95.0,Bubble Jet Pokémon,65.0,525.0,Water,,1,29.0
172,2,Volt Absorb,,Quick Feet,65.0,184.0,70.0,45.0,60.0,35.0,Field,,1,1,Medium Fast,0.8,65.0,0,0,0,Jolteon,87.5,135,110.0,95.0,Lightning Pokémon,130.0,525.0,Electric,,1,24.5
173,2,Flash Fire,,Guts,130.0,184.0,70.0,45.0,60.0,35.0,Field,,1,1,Medium Fast,0.9,65.0,0,0,0,Flareon,87.5,136,95.0,110.0,Flame Pokémon,65.0,525.0,Fire,,1,25.0
174,3,Trace,Download,Analytic,60.0,79.0,70.0,45.0,70.0,20.0,Mineral,,1,1,Medium Fast,0.8,65.0,0,0,0,Porygon,,137,85.0,75.0,Virtual Pokémon,40.0,395.0,Normal,,1,36.5
175,3,Swift Swim,Shell Armor,Weak Armor,40.0,71.0,70.0,45.0,100.0,30.0,Water 1,Water 3,2,1,Medium Fast,0.4,35.0,0,0,0,Omanyte,87.5,138,90.0,55.0,Spiral Pokémon,35.0,355.0,Rock,Water,2,7.5
176,3,Swift Swim,Shell Armor,Weak Armor,60.0,173.0,70.0,45.0,125.0,30.0,Water 1,Water 3,2,1,Medium Fast,1.0,70.0,0,0,0,Omastar,87.5,139,115.0,70.0,Spiral Pokémon,55.0,495.0,Rock,Water,2,35.0
177,3,Swift Swim,Battle Armor,Weak Armor,80.0,71.0,70.0,45.0,90.0,30.0,Water 1,Water 3,2,1,Medium Fast,0.5,30.0,0,0,0,Kabuto,87.5,140,55.0,45.0,Shellfish Pokémon,55.0,355.0,Rock,Water,2,11.5
178,3,Swift Swim,Battle Armor,Weak Armor,115.0,173.0,70.0,45.0,105.0,30.0,Water 1,Water 3,2,1,Medium Fast,1.3,60.0,0,0,0,Kabutops,87.5,141,65.0,70.0,Shellfish Pokémon,80.0,495.0,Rock,Water,2,40.5
179,3,Rock Head,Pressure,Unnerve,105.0,180.0,70.0,45.0,65.0,35.0,Flying,,1,1,Slow,1.8,80.0,0,0,0,Aerodactyl,87.5,142,60.0,75.0,Fossil Pokémon,130.0,515.0,Rock,Flying,2,59.0
180,1,Tough Claws,,,135.0,215.0,70.0,45.0,85.0,35.0,Flying,,1,1,Slow,2.1,80.0,0,0,0,Mega Aerodactyl,87.5,142,70.0,95.0,Fossil Pokémon,150.0,615.0,Rock,Flying,2,79.0
181,3,Immunity,Thick Fat,Gluttony,110.0,189.0,70.0,25.0,65.0,40.0,Monster,,1,1,Slow,2.1,160.0,0,0,0,Snorlax,87.5,143,65.0,110.0,Sleeping Pokémon,30.0,540.0,Normal,,1,460.0
182,2,Pressure,,Snow Cloak,85.0,261.0,35.0,3.0,100.0,80.0,Undiscovered,,1,1,Slow,1.7,90.0,0,0,1,Articuno,,144,95.0,125.0,Freeze Pokémon,85.0,580.0,Ice,Flying,2,55.4
183,2,Pressure,,Static,90.0,261.0,35.0,3.0,85.0,80.0,Undiscovered,,1,1,Slow,1.6,90.0,0,0,1,Zapdos,,145,125.0,90.0,Electric Pokémon,100.0,580.0,Electric,Flying,2,52.6
184,2,Pressure,,Flame Body,100.0,261.0,35.0,3.0,90.0,80.0,Undiscovered,,1,1,Slow,2.0,90.0,0,0,1,Moltres,,146,125.0,85.0,Flame Pokémon,90.0,580.0,Fire,Flying,2,60.0
185,2,Shed Skin,,Marvel Scale,64.0,60.0,35.0,45.0,45.0,40.0,Dragon,Water 1,2,1,Slow,1.8,41.0,0,0,0,Dratini,50.0,147,50.0,50.0,Dragon Pokémon,50.0,300.0,Dragon,,1,3.3
186,2,Shed Skin,,Marvel Scale,84.0,147.0,35.0,45.0,65.0,40.0,Dragon,Water 1,2,1,Slow,4.0,61.0,0,0,0,Dragonair,50.0,148,70.0,70.0,Dragon Pokémon,70.0,420.0,Dragon,,1,16.5
187,2,Inner Focus,,Multiscale,134.0,270.0,35.0,45.0,95.0,40.0,Dragon,Water 1,2,1,Slow,2.2,91.0,0,0,0,Dragonite,50.0,149,100.0,100.0,Dragon Pokémon,80.0,600.0,Dragon,Flying,2,210.0
188,2,Pressure,,Unnerve,110.0,306.0,0.0,3.0,90.0,120.0,Undiscovered,,1,1,Slow,2.0,106.0,1,0,0,Mewtwo,,150,154.0,90.0,Genetic Pokémon,130.0,680.0,Psychic,,1,122.0
189,1,Steadfast,,,190.0,351.0,0.0,3.0,100.0,120.0,Undiscovered,,1,1,Slow,2.3,106.0,1,0,0,Mega Mewtwo X,,150,154.0,100.0,Genetic Pokémon,130.0,780.0,Psychic,Fighting,2,127.0
190,1,Insomnia,,,150.0,351.0,0.0,3.0,70.0,120.0,Undiscovered,,1,1,Slow,1.5,106.0,1,0,0,Mega Mewtwo Y,,150,194.0,120.0,Genetic Pokémon,140.0,780.0,Psychic,,1,33.0
191,1,Synchronize,,,100.0,270.0,100.0,45.0,100.0,120.0,Undiscovered,,1,1,Medium Slow,0.4,100.0,0,1,0,Mew,,151,100.0,100.0,New Species Pokémon,100.0,600.0,Psychic,,1,4.0
192,2,Overgrow,,Leaf Guard,49.0,64.0,70.0,45.0,65.0,20.0,Grass,Monster,2,2,Medium Slow,0.9,45.0,0,0,0,Chikorita,87.5,152,49.0,65.0,Leaf Pokémon,45.0,318.0,Grass,,1,6.4
193,2,Overgrow,,Leaf Guard,62.0,142.0,70.0,45.0,80.0,20.0,Grass,Monster,2,2,Medium Slow,1.2,60.0,0,0,0,Bayleef,87.5,153,63.0,80.0,Leaf Pokémon,60.0,405.0,Grass,,1,15.8
194,2,Overgrow,,Leaf Guard,82.0,236.0,70.0,45.0,100.0,20.0,Grass,Monster,2,2,Medium Slow,1.8,80.0,0,0,0,Meganium,87.5,154,83.0,100.0,Herb Pokémon,80.0,525.0,Grass,,1,100.5
195,2,Blaze,,Flash Fire,52.0,62.0,70.0,45.0,43.0,20.0,Field,,1,2,Medium Slow,0.5,39.0,0,0,0,Cyndaquil,87.5,155,60.0,50.0,Fire Mouse Pokémon,65.0,309.0,Fire,,1,7.9
196,2,Blaze,,Flash Fire,64.0,142.0,70.0,45.0,58.0,20.0,Field,,1,2,Medium Slow,0.9,58.0,0,0,0,Quilava,87.5,156,80.0,65.0,Volcano Pokémon,80.0,405.0,Fire,,1,19.0
197,2,Blaze,,Flash Fire,84.0,240.0,70.0,45.0,78.0,20.0,Field,,1,2,Medium Slow,1.7,78.0,0,0,0,Typhlosion,87.5,157,109.0,85.0,Volcano Pokémon,100.0,534.0,Fire,,1,79.5
198,2,Torrent,,Sheer Force,65.0,63.0,70.0,45.0,64.0,20.0,Monster,Water 1,2,2,Medium Slow,0.6,50.0,0,0,0,Totodile,87.5,158,44.0,48.0,Big Jaw Pokémon,43.0,314.0,Water,,1,9.5
199,2,Torrent,,Sheer Force,80.0,142.0,70.0,45.0,80.0,20.0,Monster,Water 1,2,2,Medium Slow,1.1,65.0,0,0,0,Croconaw,87.5,159,59.0,63.0,Big Jaw Pokémon,58.0,405.0,Water,,1,25.0
200,2,Torrent,,Sheer Force,105.0,239.0,70.0,45.0,100.0,20.0,Monster,Water 1,2,2,Medium Slow,2.3,85.0,0,0,0,Feraligatr,87.5,160,79.0,83.0,Big Jaw Pokémon,78.0,530.0,Water,,1,88.8
201,3,Run Away,Keen Eye,Frisk,46.0,43.0,70.0,255.0,34.0,15.0,Field,,1,2,Medium Fast,0.8,35.0,0,0,0,Sentret,50.0,161,35.0,45.0,Scout Pokémon,20.0,215.0,Normal,,1,6.0
202,3,Run Away,Keen Eye,Frisk,76.0,145.0,70.0,90.0,64.0,15.0,Field,,1,2,Medium Fast,1.8,85.0,0,0,0,Furret,50.0,162,45.0,55.0,Long Body Pokémon,90.0,415.0,Normal,,1,32.5
203,3,Insomnia,Keen Eye,Tinted Lens,30.0,52.0,70.0,255.0,30.0,15.0,Flying,,1,2,Medium Fast,0.7,60.0,0,0,0,Hoothoot,50.0,163,36.0,56.0,Owl Pokémon,50.0,262.0,Normal,Flying,2,21.2
204,3,Insomnia,Keen Eye,Tinted Lens,50.0,158.0,70.0,90.0,50.0,15.0,Flying,,1,2,Medium Fast,1.6,100.0,0,0,0,Noctowl,50.0,164,86.0,96.0,Owl Pokémon,70.0,452.0,Normal,Flying,2,40.8
205,3,Swarm,Early Bird,Rattled,20.0,53.0,70.0,255.0,30.0,15.0,Bug,,1,2,Fast,1.0,40.0,0,0,0,Ledyba,50.0,165,40.0,80.0,Five Star Pokémon,55.0,265.0,Bug,Flying,2,10.8
206,3,Swarm,Early Bird,Iron Fist,35.0,137.0,70.0,90.0,50.0,15.0,Bug,,1,2,Fast,1.4,55.0,0,0,0,Ledian,50.0,166,55.0,110.0,Five Star Pokémon,85.0,390.0,Bug,Flying,2,35.6
207,3,Swarm,Insomnia,Sniper,60.0,50.0,70.0,255.0,40.0,15.0,Bug,,1,2,Fast,0.5,40.0,0,0,0,Spinarak,50.0,167,40.0,40.0,String Spit Pokémon,30.0,250.0,Bug,Poison,2,8.5
208,3,Swarm,Insomnia,Sniper,90.0,140.0,70.0,90.0,70.0,15.0,Bug,,1,2,Fast,1.1,70.0,0,0,0,Ariados,50.0,168,60.0,70.0,Long Leg Pokémon,40.0,400.0,Bug,Poison,2,33.5
209,2,Inner Focus,,Infiltrator,90.0,241.0,70.0,90.0,80.0,15.0,Flying,,1,2,Medium Fast,1.8,85.0,0,0,0,Crobat,50.0,169,70.0,80.0,Bat Pokémon,130.0,535.0,Poison,Flying,2,75.0
210,3,Volt Absorb,Illuminate,Water Absorb,38.0,66.0,70.0,190.0,38.0,20.0,Water 2,,1,2,Slow,0.5,75.0,0,0,0,Chinchou,50.0,170,56.0,56.0,Angler Pokémon,67.0,330.0,Water,Electric,2,12.0
211,3,Volt Absorb,Illuminate,Water Absorb,58.0,161.0,70.0,75.0,58.0,20.0,Water 2,,1,2,Slow,1.2,125.0,0,0,0,Lanturn,50.0,171,76.0,76.0,Light Pokémon,67.0,460.0,Water,Electric,2,22.5
212,2,Static,,Lightning Rod,40.0,41.0,70.0,190.0,15.0,10.0,Undiscovered,,1,2,Medium Fast,0.3,20.0,0,0,0,Pichu,50.0,172,35.0,35.0,Tiny Mouse Pokémon,60.0,205.0,Electric,,1,2.0
213,3,Cute Charm,Magic Guard,Friend Guard,25.0,44.0,140.0,150.0,28.0,10.0,Undiscovered,,1,2,Fast,0.3,50.0,0,0,0,Cleffa,25.0,173,45.0,55.0,Star Shape Pokémon,15.0,218.0,Fairy,,1,3.0
214,3,Cute Charm,Competitive,Friend Guard,30.0,42.0,70.0,170.0,15.0,10.0,Undiscovered,,1,2,Fast,0.3,90.0,0,0,0,Igglybuff,25.0,174,40.0,20.0,Balloon Pokémon,15.0,210.0,Normal,Fairy,2,1.0
215,3,Hustle,Serene Grace,Super Luck,20.0,49.0,70.0,190.0,65.0,10.0,Undiscovered,,1,2,Fast,0.3,35.0,0,0,0,Togepi,87.5,175,40.0,65.0,Spike Ball Pokémon,20.0,245.0,Fairy,,1,1.5
216,3,Hustle,Serene Grace,Super Luck,40.0,142.0,70.0,75.0,85.0,10.0,Fairy,Flying,2,2,Fast,0.6,55.0,0,0,0,Togetic,87.5,176,80.0,105.0,Happiness Pokémon,40.0,405.0,Fairy,Flying,2,3.2
217,3,Synchronize,Early Bird,Magic Bounce,50.0,64.0,70.0,190.0,45.0,20.0,Flying,,1,2,Medium Fast,0.2,40.0,0,0,0,Natu,50.0,177,70.0,45.0,Tiny Bird Pokémon,70.0,320.0,Psychic,Flying,2,2.0
